variant,feature,mse,mae,r2,correlation
baseline_additive,MedInc,0.02671788125510901,0.12122103349541802,0.9255959850681847,0.9630180395309675
baseline_additive,HouseAge,0.007788508285853185,0.05937271034589815,0.5526556993332113,0.7453502127681
baseline_additive,AveRooms,0.0010834624047825572,0.02320275233007659,0.676081093765569,0.8315762358899594
baseline_additive,AveBedrms,0.0002054516692272558,0.00833747173580148,0.5625652747799781,0.7852946023931571
baseline_additive,Population,5.4895280033406974e-05,0.005673137212964112,0.42767031039685877,0.6557543668708821
baseline_additive,AveOccup,0.016793458334325256,0.08416937153567745,0.8269302223293715,0.9239974643444732
baseline_additive,Latitude,0.011516206687513747,0.08167554732587465,0.8349827603732093,0.9146161189242294
baseline_additive,Longitude,0.012198184528445117,0.07433872659157618,0.7803765105853727,0.8865758770169934
improved_interaction_aware,MedInc,0.024034940829310174,0.11526862585635218,0.933067443511924,0.9666483545196605
improved_interaction_aware,HouseAge,0.00590824620900423,0.050369469868228725,0.6606512862886843,0.8153902972943319
improved_interaction_aware,AveRooms,0.0009707163674626655,0.021731753490365942,0.7097883760207895,0.8500512522037477
improved_interaction_aware,AveBedrms,0.0001816887262006682,0.00819727879785759,0.6131598330639337,0.8045081863337993
improved_interaction_aware,Population,4.268980715849423e-05,0.004901383238983331,0.5549226806863856,0.7535505346465106
improved_interaction_aware,AveOccup,0.008707440487331814,0.06980983228079099,0.9102629869785367,0.9566188475240209
improved_interaction_aware,Latitude,0.010429559269602337,0.07625620488150311,0.8505534740827627,0.9226417639862448
improved_interaction_aware,Longitude,0.010040755014429182,0.06842198485770787,0.8192201759627386,0.909729946148867
