seed,model,stage,training_seconds,inference_seconds_mean,explanation_seconds_total,samples
42,blackbox,predict,84.71133709998685,0.002132919995347038,,12000
42,gam1,predict,224.8787122000067,0.009511879994533956,,12000
42,gam2,predict,321.6924976000155,0.010527920007007197,,12000
42,permutation_shap,explain,0.0,,25.18129200002295,24
42,surrogate_zero,train,129.8214294000063,,,42000
42,instashap_zero,predict,501.2552914999833,0.012039899994852022,,12000
42,instashap_zero,explain,0.0,,0.011204799986444414,24
42,surrogate_bg,train,267.5308119999827,,,42000
42,instashap_bg,predict,602.6823637999769,0.01183512001298368,,12000
42,instashap_bg,explain,0.0,,0.009687500016298145,24
123,blackbox,predict,68.66002050001407,0.0018252399924676866,,12000
123,gam1,predict,265.3695671999885,0.007340279995696619,,12000
123,gam2,predict,177.24058820001665,0.009364580002147705,,12000
123,permutation_shap,explain,0.0,,0.9612582999980077,24
123,surrogate_zero,train,117.76287759997649,,,42000
123,instashap_zero,predict,388.9512897999957,0.006971200002590194,,12000
123,instashap_zero,explain,0.0,,0.006968700006837025,24
123,surrogate_bg,train,233.9735183000157,,,42000
123,instashap_bg,predict,780.1980722000008,0.01605453999945894,,12000
123,instashap_bg,explain,0.0,,0.0162428000185173,24
2026,blackbox,predict,75.63105090000317,0.001398640003753826,,12000
2026,gam1,predict,330.4509459999972,0.010089979995973409,,12000
2026,gam2,predict,450.550283700024,0.014302519999910146,,12000
2026,permutation_shap,explain,0.0,,1.5986458999977913,24
2026,surrogate_zero,train,154.68675579997944,,,42000
2026,instashap_zero,predict,512.6253066000063,0.013016680005239322,,12000
2026,instashap_zero,explain,0.0,,0.011778899992350489,24
2026,surrogate_bg,train,307.16460489999736,,,42000
2026,instashap_bg,predict,1139.5429337999958,0.008355380006833002,,12000
2026,instashap_bg,explain,0.0,,0.010302499984391034,24
