income,experience,hours_per_week,age,education,occupation,region,high_earner
82841.0,18.7,27.0,46.0,bachelors,executive,midwest,0
52746.0,13.3,35.0,29.0,masters,sales,west,0
72768.0,22.1,40.0,47.0,high_school,executive,southeast,0
94979.0,27.4,40.0,52.0,bachelors,service,midwest,0
28605.0,9.5,36.0,42.0,associates,service,southeast,0
33605.0,15.7,45.0,57.0,high_school,admin,midwest,0
102970.0,12.9,31.0,30.0,high_school,technical,northeast,0
73949.0,13.3,39.0,26.0,masters,service,northeast,0
58765.0,14.5,41.0,20.0,bachelors,executive,southeast,0
71298.0,42.3,44.0,53.0,masters,sales,midwest,0
43882.0,24.5,46.0,45.0,high_school,executive,northeast,0
43837.0,21.7,31.0,37.0,bachelors,admin,midwest,0
75325.0,21.4,28.0,41.0,bachelors,executive,west,0
42000.0,14.4,50.0,27.0,masters,technical,northeast,0
30693.0,20.0,43.0,62.0,bachelors,technical,midwest,0
69007.0,19.0,34.0,39.0,masters,executive,southeast,1
64542.0,11.5,52.0,39.0,doctorate,technical,west,1
79361.0,17.0,41.0,45.0,masters,technical,northeast,1
31132.0,11.4,49.0,43.0,associates,admin,midwest,0
15000.0,12.8,41.0,40.0,high_school,admin,west,0
147010.0,22.2,56.0,30.0,doctorate,executive,west,1
38788.0,5.7,54.0,43.0,high_school,technical,midwest,0
85704.0,22.0,38.0,57.0,doctorate,technical,southeast,1
19044.0,4.3,48.0,51.0,bachelors,sales,midwest,0
67340.0,17.2,45.0,54.0,doctorate,admin,west,1
68816.0,24.4,51.0,33.0,masters,admin,midwest,1
62571.0,11.8,32.0,28.0,doctorate,technical,northeast,1
54151.0,9.3,45.0,37.0,bachelors,sales,west,0
38304.0,10.6,48.0,39.0,masters,service,midwest,0
37368.0,21.6,26.0,49.0,bachelors,sales,midwest,0
41285.0,6.7,31.0,21.0,bachelors,admin,northeast,0
145765.0,19.6,24.0,53.0,masters,technical,midwest,1
63691.0,14.6,38.0,36.0,doctorate,service,southeast,0
63887.0,9.9,46.0,34.0,doctorate,technical,midwest,1
75959.0,23.0,52.0,28.0,masters,service,northeast,0
21624.0,15.1,41.0,21.0,bachelors,sales,midwest,0
59417.0,4.5,53.0,46.0,bachelors,admin,west,0
37000.0,14.3,29.0,39.0,masters,admin,northeast,0
15000.0,7.6,26.0,25.0,associates,service,west,0
34091.0,13.8,40.0,25.0,high_school,sales,southeast,0
80915.0,8.8,43.0,35.0,bachelors,technical,west,0
38406.0,18.8,40.0,55.0,associates,service,west,0
51267.0,18.7,23.0,35.0,associates,technical,midwest,0
57169.0,16.0,39.0,23.0,associates,executive,midwest,0
18406.0,6.5,30.0,36.0,high_school,technical,west,0
24203.0,13.1,45.0,35.0,high_school,admin,southeast,0
58936.0,8.4,43.0,18.0,doctorate,sales,southeast,0
88163.0,11.3,32.0,37.0,bachelors,admin,midwest,0
48210.0,24.4,36.0,36.0,bachelors,service,west,0
52302.0,16.3,32.0,45.0,masters,executive,west,0
57644.0,10.1,39.0,56.0,associates,admin,west,0
60435.0,22.6,48.0,49.0,doctorate,sales,southeast,0
56945.0,25.0,32.0,35.0,masters,technical,west,0
61559.0,16.9,44.0,27.0,high_school,technical,northeast,0
92084.0,13.2,36.0,64.0,bachelors,technical,midwest,0
108092.0,12.9,34.0,39.0,doctorate,admin,northeast,1
47222.0,21.9,39.0,38.0,doctorate,service,southeast,0
36999.0,11.2,32.0,38.0,bachelors,sales,southeast,0
74851.0,17.8,36.0,40.0,masters,admin,southeast,1
64839.0,14.7,30.0,37.0,associates,service,midwest,0
68577.0,5.1,56.0,32.0,doctorate,admin,southeast,1
44675.0,12.2,40.0,33.0,associates,admin,southeast,0
43193.0,0.0,34.0,38.0,doctorate,service,northeast,0
43954.0,8.0,42.0,33.0,masters,admin,southeast,0
95590.0,13.9,39.0,31.0,masters,technical,northeast,1
106579.0,9.6,38.0,39.0,bachelors,technical,northeast,0
62287.0,22.9,45.0,35.0,associates,executive,midwest,0
65965.0,13.3,46.0,53.0,associates,service,midwest,0
58737.0,6.1,36.0,18.0,associates,admin,midwest,0
35505.0,17.8,35.0,49.0,associates,admin,southeast,0
80730.0,25.4,38.0,50.0,masters,technical,southeast,1
115770.0,0.0,22.0,18.0,bachelors,technical,west,0
38151.0,19.7,28.0,35.0,high_school,admin,midwest,0
152186.0,13.6,51.0,34.0,doctorate,executive,southeast,1
50000.0,4.6,53.0,24.0,doctorate,admin,northeast,0
93936.0,14.8,38.0,30.0,doctorate,sales,southeast,0
86201.0,13.2,45.0,27.0,doctorate,technical,southeast,1
57214.0,18.6,42.0,56.0,associates,executive,southeast,0
61322.0,19.4,65.0,47.0,bachelors,technical,midwest,0
52000.0,13.0,49.0,51.0,masters,executive,midwest,0
45922.0,12.1,39.0,45.0,masters,service,midwest,0
73604.0,17.0,32.0,27.0,associates,executive,west,0
119636.0,19.7,27.0,33.0,masters,admin,west,1
52830.0,8.1,42.0,43.0,associates,executive,midwest,0
22720.0,21.3,34.0,26.0,associates,sales,west,0
58144.0,1.2,29.0,45.0,bachelors,executive,northeast,0
72474.0,14.0,35.0,36.0,bachelors,sales,northeast,0
67779.0,18.2,31.0,34.0,bachelors,technical,northeast,0
17614.0,17.0,53.0,45.0,high_school,sales,midwest,0
98363.0,6.7,47.0,42.0,doctorate,technical,west,1
51459.0,10.9,40.0,34.0,associates,admin,northeast,0
69564.0,15.8,52.0,50.0,high_school,admin,west,0
49509.0,4.6,41.0,27.0,doctorate,service,northeast,0
71613.0,21.7,33.0,44.0,doctorate,admin,west,1
85294.0,18.3,52.0,44.0,doctorate,executive,southeast,1
25582.0,10.5,44.0,35.0,masters,service,northeast,0
88844.0,20.9,32.0,41.0,masters,executive,southeast,1
45856.0,10.4,38.0,25.0,bachelors,service,southeast,0
39146.0,24.4,33.0,47.0,high_school,admin,southeast,0
53595.0,17.3,29.0,36.0,bachelors,technical,southeast,0
34157.0,7.8,47.0,33.0,bachelors,technical,west,0
29723.0,12.1,55.0,48.0,associates,sales,midwest,0
63301.0,15.9,29.0,31.0,masters,technical,southeast,1
42822.0,12.1,45.0,24.0,bachelors,technical,midwest,0
20223.0,9.2,35.0,22.0,high_school,service,midwest,0
74996.0,20.3,36.0,44.0,associates,executive,southeast,0
157881.0,15.5,35.0,25.0,masters,executive,southeast,1
48492.0,13.1,33.0,56.0,high_school,technical,northeast,0
85758.0,14.6,40.0,18.0,doctorate,admin,northeast,1
57230.0,17.9,33.0,55.0,bachelors,technical,midwest,0
25000.0,12.4,42.0,40.0,bachelors,admin,northeast,0
53375.0,22.8,40.0,37.0,bachelors,admin,midwest,0
52520.0,16.7,38.0,33.0,masters,service,midwest,0
162984.0,24.2,33.0,42.0,bachelors,sales,northeast,0
76526.0,23.6,35.0,38.0,masters,executive,midwest,1
66998.0,16.8,46.0,49.0,bachelors,technical,southeast,0
53177.0,23.1,44.0,39.0,associates,technical,west,0
47328.0,11.9,32.0,40.0,doctorate,sales,southeast,0
88804.0,16.6,41.0,34.0,masters,service,west,0
73394.0,13.9,46.0,37.0,masters,service,midwest,0
117803.0,18.5,27.0,41.0,doctorate,executive,northeast,1
61111.0,16.0,44.0,21.0,doctorate,admin,midwest,1
130854.0,5.7,35.0,25.0,masters,executive,west,1
46320.0,27.6,45.0,45.0,masters,technical,midwest,0
72738.0,9.9,34.0,40.0,masters,sales,west,0
168566.0,5.1,26.0,36.0,masters,technical,west,1
36874.0,25.3,27.0,38.0,masters,sales,northeast,0
68933.0,20.3,40.0,41.0,masters,executive,northeast,1
66525.0,15.9,42.0,33.0,associates,executive,midwest,0
58111.0,16.2,33.0,30.0,doctorate,sales,southeast,0
37577.0,12.2,45.0,40.0,doctorate,service,west,0
45730.0,4.1,27.0,28.0,high_school,technical,west,0
60821.0,18.5,39.0,42.0,masters,executive,southeast,1
37118.0,3.9,30.0,21.0,high_school,service,northeast,0
40955.0,21.2,35.0,48.0,bachelors,technical,west,0
128401.0,16.1,40.0,43.0,masters,technical,southeast,1
38136.0,12.7,33.0,41.0,associates,technical,west,0
58730.0,16.9,37.0,48.0,masters,admin,southeast,0
95626.0,24.0,48.0,55.0,masters,technical,midwest,1
46491.0,12.5,35.0,48.0,bachelors,executive,northeast,0
44925.0,1.3,47.0,20.0,high_school,admin,midwest,0
79237.0,15.0,31.0,25.0,associates,service,southeast,0
53944.0,13.5,44.0,32.0,masters,executive,midwest,0
